其他频道,#genre#
CETV,http://116.233.232.229:7777/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://116.233.232.229:7777/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://222.71.189.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
ICS,http://116.233.232.229:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV古装剧场,http://118.253.0.237:2023/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV经典剧场,http://118.253.0.237:2023/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
KBS韩国广播电视,http://180.167.104.105:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
NHK日本广播协会,http://180.167.104.105:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
QTV1,http://112.6.117.141:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
QTV2,http://112.6.117.141:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
QTV3,http://112.6.117.141:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
QTV4,http://112.6.117.141:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
QTV5,http://112.6.117.141:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
QTV6,http://112.6.117.141:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河,http://180.167.104.105:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
七彩戏剧,http://116.233.232.229:7777/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
上海ICS,http://180.167.104.105:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
上海娱乐,http://180.167.104.105:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育台,http://116.233.232.229:7777/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
上海电视剧,http://61.170.164.195:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://180.167.104.105:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://61.170.164.195:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
上海艺术人生,http://61.170.164.195:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://116.233.232.229:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://116.233.232.229:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
东方购物,http://180.167.104.105:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中国气象,http://222.71.189.186:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://116.233.232.229:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://180.167.104.105:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://61.170.164.195:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://222.71.189.186:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://221.226.4.10:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
公共,http://123.160.235.166:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://116.233.232.229:7777/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://221.226.4.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
南平综合,http://117.27.190.42:9901/tsfile/live/23295_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://222.89.107.42:9876/tsfile/live/0017_3.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://116.233.232.229:7777/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://116.233.232.229:7777/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
厦门1,http://117.27.190.42:9901/tsfile/live/23293_1.m3u8?key=txiptv&playlive=1&authid=0
厦门2,http://117.27.190.42:9901/tsfile/live/23294_1.m3u8?key=txiptv&playlive=1&authid=0
吉林怀视,http://112.6.117.141:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://222.89.107.42:9876/tsfile/live/0018_2.m3u8?key=txiptv&playlive=1&authid=0
